id,city,avg_high_tem,月份
1,重庆,9,1月
2,重庆,9,1月
3,重庆,11,1月
4,重庆,9,1月
5,重庆,8,1月
6,重庆,12,1月
7,重庆,10,1月
8,重庆,12,1月
9,重庆,11,1月
10,重庆,10,1月
11,重庆,8,1月
12,重庆,6,1月
13,上海,7,1月
14,上海,9,1月
15,上海,10,1月
16,上海,9,1月
17,上海,7,1月
18,上海,10,1月
19,上海,7,1月
20,上海,10,1月
21,上海,11,1月
22,上海,8,1月
23,上海,7,1月
24,上海,5,1月
25,青岛,3,1月
26,青岛,3,1月
27,青岛,5,1月
28,青岛,4,1月
29,青岛,2,1月
30,青岛,4,1月
31,青岛,2,1月
32,青岛,5,1月
33,青岛,5,1月
34,青岛,1,1月
35,青岛,2,1月
36,青岛,0,1月
37,重庆,11,2月
38,重庆,16,2月
39,重庆,12,2月
40,重庆,12,2月
41,重庆,11,2月
42,重庆,12,2月
43,重庆,13,2月
44,重庆,14,2月
45,重庆,11,2月
46,重庆,14,2月
47,重庆,10,2月
48,重庆,13,2月
49,上海,8,2月
50,上海,14,2月
51,上海,12,2月
52,上海,9,2月
53,上海,9,2月
54,上海,10,2月
55,上海,11,2月
56,上海,10,2月
57,上海,9,2月
58,上海,9,2月
59,上海,7,2月
60,上海,10,2月
61,青岛,4,2月
62,青岛,7,2月
63,青岛,7,2月
64,青岛,5,2月
65,青岛,3,2月
66,青岛,5,2月
67,青岛,5,2月
68,青岛,5,2月
69,青岛,4,2月
70,青岛,3,2月
71,青岛,3,2月
72,青岛,5,2月
73,重庆,21,3月
74,重庆,18,3月
75,重庆,19,3月
76,重庆,17,3月
77,重庆,19,3月
78,重庆,16,3月
79,重庆,19,3月
80,重庆,19,3月
81,重庆,18,3月
82,重庆,22,3月
83,重庆,17,3月
84,重庆,15,3月
85,上海,17,3月
86,上海,15,3月
87,上海,16,3月
88,上海,15,3月
89,上海,16,3月
90,上海,14,3月
91,上海,15,3月
92,上海,14,3月
93,上海,15,3月
94,上海,16,3月
95,上海,13,3月
96,上海,13,3月
97,青岛,10,3月
98,青岛,11,3月
99,青岛,11,3月
100,青岛,11,3月
101,青岛,9,3月
102,青岛,10,3月
103,青岛,10,3月
104,青岛,10,3月
105,青岛,11,3月
106,青岛,8,3月
107,青岛,8,3月
108,青岛,9,3月
109,重庆,22,4月
110,重庆,20,4月
111,重庆,20,4月
112,重庆,26,4月
113,重庆,25,4月
114,重庆,23,4月
115,重庆,23,4月
116,重庆,25,4月
117,重庆,23,4月
118,重庆,24,4月
119,重庆,22,4月
120,重庆,23,4月
121,上海,21,4月
122,上海,20,4月
123,上海,20,4月
124,上海,21,4月
125,上海,22,4月
126,上海,21,4月
