city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
重庆,22-Apr,22,13,32,6,45,15,2022/4/13,76,2022/4/9
重庆,22-Mar,21,12,30,8,53,13,2022/3/21,94,2022/3/9
重庆,22-Feb,11,7,19,3,58,26,2022/2/7,90,2022/2/26
重庆,22-Jan,9,4,17,-17,87,22,2022/1/2,152,2022/1/4
重庆,21-Dec,11,6,17,2,100,28,2021/12/26,172,2021/12/23
重庆,21-Nov,13,8,23,0,81,19,2021/11/6,143,2021/11/27
重庆,21-Oct,20,15,35,8,48,11,2021/10/11,86,2021/10/25
重庆,21-Sep,29,21,35,15,38,16,2021/9/18,61,2021/9/23
重庆,21-Aug,30,23,40,16,42,15,2021/8/11,69,2021/8/4
重庆,21-Jul,31,24,38,16,84,21,2021/7/2,148,2021/7/30
重庆,21-Jun,28,22,35,16,46,22,2021/6/25,71,2021/6/5
重庆,21-May,25,18,36,12,47,21,2021/5/3,73,2021/5/20
重庆,21-Apr,20,15,32,12,44,20,2021/4/24,69,2021/4/29
重庆,21-Mar,18,13,27,8,80,33,2021/3/20,127,2021/3/5
重庆,21-Feb,16,9,26,0,88,33,2021/2/19,144,2021/2/13
重庆,21-Jan,9,4,15,0,117,47,2021/1/17,188,2021/1/15
重庆,20-Dec,9,6,13,0,110,30,2020/12/8,191,2020/12/26
重庆,20-Nov,18,12,25,8,71,27,2020/11/22,116,2020/11/8
重庆,20-Oct,18,15,23,12,69,17,2020/10/6,121,2020/10/26
重庆,20-Sep,25,21,35,17,60,25,2020/9/11,96,2020/9/9
重庆,20-Aug,34,26,39,21,55,23,2020/8/15,87,2020/8/30
重庆,20-Jul,29,23,36,21,41,16,2020/7/17,67,2020/7/31
重庆,20-Jun,29,22,36,17,63,25,2020/6/20,102,2020/6/5
重庆,20-May,28,20,34,17,83,27,2020/5/24,140,2020/5/23
重庆,20-Apr,20,14,31,10,66,28,2020/4/5,104,2020/4/16
重庆,20-Mar,19,12,28,9,62,29,2020/3/28,96,2020/3/6
重庆,20-Feb,12,8,18,2,81,36,2020/2/15,127,2020/2/20
重庆,20-Jan,11,7,15,3,96,41,2020/1/28,151,2020/1/3
重庆,19-Dec,11,7,15,4,110,30,2019/12/18,191,2019/12/13
重庆,19-Nov,15,11,22,8,66,28,2019/11/28,104,2019/11/16
重庆,19-Oct,21,16,28,12,62,23,2019/10/21,102,2019/10/30
重庆,19-Sep,28,20,36,16,56,22,2019/9/11,91,2019/9/30
重庆,19-Aug,34,25,39,21,73,25,2019/8/3,121,2019/8/12
重庆,19-Jul,30,24,38,20,53,18,2019/7/8,89,2019/7/20
重庆,19-Jun,28,22,34,19,47,23,2019/6/11,71,2019/6/3
重庆,19-May,24,18,31,15,56,27,2019/5/7,86,2019/5/11
重庆,19-Apr,26,17,36,12,47,19,2019/4/14,75,2019/4/18
重庆,19-Mar,17,11,26,8,79,39,2019/3/22,119,2019/3/9
重庆,19-Feb,12,8,18,4,85,35,2019/2/1,136,2019/2/21
重庆,19-Jan,9,5,14,-1,110,41,2019/1/10,180,2019/1/28
重庆,18-Dec,10,6,15,2,103,24,2018/12/6,182,2018/12/18
重庆,18-Nov,15,10,24,7,77,34,2018/11/17,120,2018/11/24
重庆,18-Oct,19,15,25,11,92,34,2018/10/25,150,2018/10/31
重庆,18-Sep,26,21,39,17,51,50,2018/9/25,52,2018/9/1
重庆,18-Aug,34,24,38,23,52,29,2018/8/22,75,2018/8/14
重庆,18-Jul,35,26,40,24,45,19,2018/7/2,72,2018/7/25
重庆,18-Jun,29,22,37,18,53,17,2018/6/28,89,2018/6/16
重庆,18-May,26,19,34,14,44,19,2018/5/22,70,2018/5/1
重庆,18-Apr,25,15,32,9,42,18,2018/4/13,67,2018/4/29
重庆,18-Mar,19,12,26,7,56,21,2018/3/3,91,2018/3/25
重庆,18-Feb,11,5,19,0,96,29,2018/2/21,164,2018/2/17
重庆,18-Jan,8,3,13,0,132,21,2018/1/27,243,2018/1/13
重庆,17-Dec,11,6,15,2,125,42,2017/12/1,209,2017/12/28
重庆,17-Nov,17,11,25,8,69,0,2017/11/1,139,2017/11/28
重庆,17-Oct,20,14,30,0,0,0,2017/10/1,0,2017/10/1
重庆,17-Sep,27,21,33,19,0,0,2017/9/1,0,2017/9/1
重庆,17-Aug,35,26,40,22,0,0,2017/8/1,0,2017/8/1
重庆,17-Jul,35,26,41,23,0,0,2017/7/1,0,2017/7/1
重庆,17-Jun,28,21,34,19,0,0,2017/6/1,0,2017/6/1
重庆,17-May,26,19,33,14,0,0,2017/5/1,0,2017/5/1
重庆,17-Apr,23,16,30,13,0,0,2017/4/1,0,2017/4/1
重庆,17-Mar,16,11,23,7,0,0,2017/3/1,0,2017/3/1
重庆,17-Feb,12,7,19,4,0,0,2017/2/1,0,2017/2/1
重庆,17-Jan,12,8,16,5,0,0,2017/1/1,0,2017/1/1
重庆,16-Dec,13,8,18,0,0,0,2016/12/1,0,2016/12/1
重庆,16-Nov,16,11,22,0,0,0,2016/11/1,0,2016/11/1
重庆,16-Oct,22,17,33,11,0,0,2016/10/1,0,2016/10/1
重庆,16-Sep,27,20,33,19,0,0,2016/9/1,0,2016/9/1
重庆,16-Aug,34,26,40,19,0,0,2016/8/1,0,2016/8/1
重庆,16-Jul,34,26,39,22,0,0,2016/7/1,0,2016/7/1
重庆,16-Jun,29,22,35,19,0,0,2016/6/1,0,2016/6/1
重庆,16-May,27,19,33,16,0,0,2016/5/1,0,2016/5/1
重庆,16-Apr,23,16,28,14,0,0,2016/4/1,0,2016/4/1
重庆,16-Mar,19,12,25,8,0,0,2016/3/1,0,2016/3/1
重庆,16-Feb,13,6,24,4,0,0,2016/2/1,0,2016/2/1
重庆,16-Jan,10,6,16,-1,0,0,2016/1/1,0,2016/1/1
重庆,15-Dec,11,7,16,5,0,0,2015/12/1,0,2015/12/1
重庆,15-Nov,18,13,22,10,0,0,2015/11/1,0,2015/11/1
重庆,15-Oct,23,17,29,13,0,0,2015/10/1,0,2015/10/1
重庆,15-Sep,27,21,34,19,0,0,2015/9/1,0,2015/9/1
重庆,15-Aug,31,23,38,20,0,0,2015/8/1,0,2015/8/1
重庆,15-Jul,33,24,37,20,0,0,2015/7/1,0,2015/7/1
重庆,15-Jun,29,23,38,19,0,0,2015/6/1,0,2015/6/1
重庆,15-May,26,19,34,16,0,0,2015/5/1,0,2015/5/1
重庆,15-Apr,25,16,34,12,0,0,2015/4/1,0,2015/4/1
重庆,15-Mar,19,13,30,8,0,0,2015/3/1,0,2015/3/1
重庆,15-Feb,14,9,20,5,0,0,2015/2/1,0,2015/2/1
重庆,15-Jan,12,7,16,5,0,0,2015/1/1,0,2015/1/1
重庆,14-Dec,11,6,15,4,0,0,2014/12/1,0,2014/12/1
重庆,14-Nov,15,11,19,8,0,0,2014/11/1,0,2014/11/1
重庆,14-Oct,23,17,30,15,0,0,2014/10/1,0,2014/10/1
重庆,14-Sep,28,21,35,18,0,0,2014/9/1,0,2014/9/1
重庆,14-Aug,31,24,39,20,0,0,2014/8/1,0,2014/8/1
重庆,14-Jul,33,25,38,19,0,0,2014/7/1,0,2014/7/1
重庆,14-Jun,27,21,35,20,0,0,2014/6/1,0,2014/6/1
重庆,14-May,24,18,30,15,0,0,2014/5/1,0,2014/5/1
重庆,14-Apr,23,16,29,13,0,0,2014/4/1,0,2014/4/1
重庆,14-Mar,18,11,25,9,0,0,2014/3/1,0,2014/3/1
重庆,14-Feb,11,7,16,3,0,0,2014/2/1,0,2014/2/1
重庆,14-Jan,11,6,17,4,0,0,2014/1/1,0,2014/1/1
重庆,13-Dec,11,7,18,4,0,0,2013/12/1,0,2013/12/1
重庆,13-Nov,16,12,21,7,0,0,2013/11/1,0,2013/11/1
重庆,13-Oct,23,16,32,13,0,0,2013/10/1,0,2013/10/1
重庆,13-Sep,27,20,36,16,0,0,2013/9/1,0,2013/9/1
重庆,13-Aug,35,26,40,21,0,0,2013/8/1,0,2013/8/1
重庆,13-Jul,36,26,40,25,0,0,2013/7/1,0,2013/7/1
重庆,13-Jun,33,23,39,19,0,0,2013/6/1,0,2013/6/1
重庆,13-May,27,19,35,17,0,0,2013/5/1,0,2013/5/1
重庆,13-Apr,24,16,32,9,0,0,2013/4/1,0,2013/4/1
重庆,13-Mar,22,13,26,8,0,0,2013/3/1,0,2013/3/1
