年份,国家,灾害类型,灾害子类型,区域,灾害频次,总死亡人数,总受灾人数,总经济损失(千美元)
1920,中国,气候灾害,干旱,中国,1,500000,20000000,0.0
1928,中国,气候灾害,干旱,中国,1,3000000,0,0.0
1965,中国,气候灾害,干旱,中国,1,0,0,27118.0
1978,中国,气候灾害,干旱,中国,1,0,6000000,0.0
1979,中国,气候灾害,干旱,中国,1,0,0,0.0
1983,中国,气候灾害,干旱,中国,1,0,0,0.0
1985,中国,气候灾害,干旱,中国,1,0,0,0.0
1988,中国,气候灾害,干旱,中国,1,1400,49000000,942887.0
1991,中国,气候灾害,干旱,中国,1,2000,5000000,0.0
1992,中国,气候灾害,干旱,中国,1,0,0,53200.0
1992,中国,气候灾害,干旱,中国,1,0,12000000,0.0
1994,中国,气候灾害,干旱,中国,1,0,82000000,13755200.0
1994,中国,气候灾害,干旱,中国,1,0,6690000,0.0
1995,中国,气候灾害,干旱,中国,1,0,9060000,12800.0
1997,中国,气候灾害,干旱,中国,1,0,0,169100.0
1999,中国,气候灾害,干旱,中国,1,0,19000000,0.0
2000,中国,气候灾害,干旱,中国,1,0,15000000,796115.0
2000,中国,气候灾害,干旱,中国,1,0,5000000,0.0
2000,中国,气候灾害,干旱,中国,1,0,0,0.0
2001,中国,气候灾害,干旱,中国,1,0,530000,0.0
2001,中国,气候灾害,干旱,中国,1,0,15800000,0.0
2002,中国,气候灾害,干旱,中国,1,0,60000000,0.0
2002,中国,气候灾害,干旱,中国,1,0,900000,0.0
2002,中国,气候灾害,干旱,中国,1,0,3660000,1210000.0
2003,中国,气候灾害,干旱,中国,1,0,48000000,0.0
2003,中国,气候灾害,干旱,中国,1,0,3000000,0.0
2005,中国,气候灾害,干旱,中国,1,0,174000,0.0
2005,中国,气候灾害,干旱,中国,1,0,7600000,0.0
2006,中国,气候灾害,干旱,中国,1,134,18000000,2910000.0
2008,中国,气候灾害,干旱,中国,1,0,3700000,234000.0
2009,中国,气候灾害,干旱,中国,1,0,160000,0.0
2009,中国,气候灾害,干旱,中国,1,0,60000000,3600000.0
2010,中国,气候灾害,干旱,中国,1,0,35000000,2370000.0
2013,中国,气候灾害,干旱,中国,1,0,5000000,0.0
2014,中国,气候灾害,干旱,中国,1,0,226000,1180000.0
2014,中国,气候灾害,干旱,中国,1,0,27500000,2500000.0
2015,中国,气候灾害,干旱,中国,1,0,0,2464000.0
2016,中国,气候灾害,干旱,中国,1,0,10000000,3000000.0
2017,中国,气候灾害,干旱,中国,1,0,2000000,122000.0
1964,伊朗,气候灾害,干旱,西亚/中东,1,0,625000,0.0
1999,伊朗,气候灾害,干旱,西亚/中东,1,0,37000000,3300000.0
2009,吉尔吉斯斯坦,气候灾害,干旱,中亚,1,0,2000000,0.0
