id,city,avg_high_tem,yf
1,重庆,9,01月
2,重庆,9,01月
3,重庆,11,01月
4,重庆,9,01月
5,重庆,8,01月
6,重庆,12,01月
7,重庆,10,01月
8,重庆,12,01月
9,重庆,11,01月
10,重庆,10,01月
11,重庆,8,01月
12,重庆,6,01月
13,上海,7,01月
14,上海,9,01月
15,上海,10,01月
16,上海,9,01月
17,上海,7,01月
18,上海,10,01月
19,上海,7,01月
20,上海,10,01月
21,上海,11,01月
22,上海,8,01月
23,上海,7,01月
24,上海,5,01月
25,青岛,3,01月
26,青岛,3,01月
27,青岛,5,01月
28,青岛,4,01月
29,青岛,2,01月
30,青岛,4,01月
31,青岛,2,01月
32,青岛,5,01月
33,青岛,5,01月
34,青岛,1,01月
35,青岛,2,01月
36,青岛,0,01月
37,重庆,11,02月
38,重庆,16,02月
39,重庆,12,02月
40,重庆,12,02月
41,重庆,11,02月
42,重庆,12,02月
43,重庆,13,02月
44,重庆,14,02月
45,重庆,11,02月
46,重庆,14,02月
47,重庆,10,02月
48,重庆,13,02月
49,上海,8,02月
50,上海,14,02月
51,上海,12,02月
52,上海,9,02月
53,上海,9,02月
54,上海,10,02月
55,上海,11,02月
56,上海,10,02月
57,上海,9,02月
58,上海,9,02月
59,上海,7,02月
60,上海,10,02月
61,青岛,4,02月
62,青岛,7,02月
63,青岛,7,02月
64,青岛,5,02月
65,青岛,3,02月
66,青岛,5,02月
67,青岛,5,02月
68,青岛,5,02月
69,青岛,4,02月
70,青岛,3,02月
71,青岛,3,02月
72,青岛,5,02月
73,重庆,21,03月
74,重庆,18,03月
75,重庆,19,03月
76,重庆,17,03月
77,重庆,19,03月
78,重庆,16,03月
79,重庆,19,03月
80,重庆,19,03月
81,重庆,18,03月
82,重庆,22,03月
83,重庆,17,03月
84,重庆,15,03月
85,上海,17,03月
86,上海,15,03月
87,上海,16,03月
88,上海,15,03月
89,上海,16,03月
90,上海,14,03月
91,上海,15,03月
92,上海,14,03月
93,上海,15,03月
94,上海,16,03月
95,上海,13,03月
96,上海,13,03月
97,青岛,10,03月
98,青岛,11,03月
99,青岛,11,03月
100,青岛,11,03月
101,青岛,9,03月
102,青岛,10,03月
103,青岛,10,03月
104,青岛,10,03月
105,青岛,11,03月
106,青岛,8,03月
107,青岛,8,03月
108,青岛,9,03月
109,重庆,22,04月
110,重庆,20,04月
111,重庆,20,04月
112,重庆,26,04月
113,重庆,25,04月
114,重庆,23,04月
115,重庆,23,04月
116,重庆,25,04月
117,重庆,23,04月
118,重庆,24,04月
119,重庆,22,04月
120,重庆,23,04月
121,上海,21,04月
122,上海,20,04月
123,上海,20,04月
124,上海,21,04月
125,上海,22,04月
126,上海,21,04月
127,上海,20,04月
128,上海,21,04月
129,上海,19,04月
130,上海,20,04月
131,上海,20,04月
132,上海,20,04月
133,青岛,16,04月
134,青岛,15,04月
135,青岛,16,04月
136,青岛,15,04月
137,青岛,14,04月
138,青岛,17,04月
139,青岛,17,04月
140,青岛,15,04月
141,青岛,16,04月
142,青岛,14,04月
143,青岛,15,04月
144,青岛,15,04月
145,重庆,25,05月
146,重庆,28,05月
147,重庆,24,05月
148,重庆,26,05月
