区,地址,地区
东城区,北京,华北地区
西城区,北京,华北地区
朝阳区,北京,华北地区
丰台区,北京,华北地区
石景山区,北京,华北地区
海淀区,北京,华北地区
门头沟区,北京,华北地区
房山区,北京,华北地区
通州区,北京,华北地区
顺义区,北京,华北地区
昌平区,北京,华北地区
大兴区,北京,华北地区
平谷区,北京,华北地区
怀柔区,北京,华北地区
密云区,北京,华北地区
延庆区,北京,华北地区
景山街道,北京,华北地区
金融街街道,北京,华北地区
东花市街道,北京,华北地区
东华门街道,北京,华北地区
安定门街道,北京,华北地区
北新桥街道,北京,华北地区
龙潭街道,北京,华北地区
西长安街街道,北京,华北地区
月坛街道,北京,华北地区
德胜街道,北京,华北地区
朝外街道,北京,华北地区
建外街道,北京,华北地区
丰台街道,北京,华北地区
鲁谷街道,北京,华北地区
海淀街道,北京,华北地区
胜利街道,北京,华北地区
潞源街道,北京,华北地区
兴丰街道,北京,华北地区
拱辰街道,北京,华北地区
大峪街道,北京,华北地区
和平区,天津,华北地区
河东区,天津,华北地区
河西区,天津,华北地区
南开区,天津,华北地区
河北区,天津,华北地区
红桥区,天津,华北地区
滨海新区,天津,华北地区
东丽区,天津,华北地区
西青区,天津,华北地区
津南区,天津,华北地区
北辰区,天津,华北地区
宁河县,天津,华北地区
武清,天津,华北地区
静海县,天津,华北地区
宝坻,天津,华北地区
蓟县,天津,华北地区
石家庄,河北,华北地区
唐山,河北,华北地区
秦皇岛,河北,华北地区
邯郸,河北,华北地区
邢台,河北,华北地区
保定,河北,华北地区
张家口,河北,华北地区
承德,河北,华北地区
沧州,河北,华北地区
廊坊,河北,华北地区
衡水,河北,华北地区
雄安新区,河北,华北地区
桥西区,河北,华北地区
新华区,河北,华北地区
井陉矿区,河北,华北地区
裕华区,河北,华北地区
藁城区,河北,华北地区
栾城区,河北,华北地区
鹿泉区,河北,华北地区
路北区,河北,华北地区
路南区,河北,华北地区
古冶区,河北,华北地区
开平区,河北,华北地区
丰南区,河北,华北地区
丰润区,河北,华北地区
曹妃甸区,河北,华北地区
海港区,河北,华北地区
山海关区,河北,华北地区
