年份,千美元,千元,亿元
1906,0,0,0
1907,0,0,0
1911,0,0,0
1912,0,0,0
1915,0,0,0
1917,0,0,0
1918,0,0,0
1920,0,0,0
1922,0,0,0
1923,0,0,0
1925,0,0,0
1927,0,0,0
1928,0,0,0
1931,1400000,9800000,98
1932,0,0,0
1933,0,0,0
1934,0,0,0
1935,0,0,0
1939,0,0,0
1942,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1959,0,0,0
1964,0,0,0
1965,27118,189826,1.89826
1966,0,0,0
1969,0,0,0
1970,0,0,0
1974,0,0,0
1975,0,0,0
1976,5600000,39200000,392
1978,0,0,0
1979,0,0,0
1980,160000,1120000,11.2
1981,2300000,16100000,161
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,702750,4919250,49.1925
1986,2928410,20498870,204.9887
1987,230000,1610000,16.1
1988,3175095,22225665,222.25665
1989,3892000,27244000,272.44
1990,2940685,20584795,205.84795
1991,8769810,61388670,613.8867
1992,1836250,12853750,128.5375
1993,7456510,52195570,521.9557
1994,23441300,164089100,1640.891
1995,7252440,50767080,507.6708
1996,21432500,150027500,1500.275
1997,6402400,44816800,448.168
1998,33281824,232972768,2329.72768
1999,10128100,70896700,708.967
2000,1491185,10438295,104.38295
2001,4449000,31143000,311.43
2002,6156800,43097600,430.976
2003,16368511,114579577,1145.79577
2004,4327480,30292360,302.9236
2005,11822775,82759425,827.59425
2006,12463691,87245837,872.45837
2007,8004698,56032886,560.32886
2008,111233000,778631000,7786.31
2009,9031552,63220864,632.20864
2010,22675436,158728052,1587.28052
2011,12048115,84336805,843.36805
2012,19754533,138281731,1382.81731
2013,35448900,248142300,2481.423
2014,29056973,203398811,2033.98811
2015,18472540,129307780,1293.0778
2016,44917660,314423620,3144.2362
2017,16484900,115394300,1153.943
2018,6588972,46122804,461.22804
