交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2024/4/1 21:45,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"160901219824040110102004426099807766112131804	","1200129707174240401010104041608385913951	",打开拼多多，领更多现金红包
2024/4/1 21:45,其他,打开拼多多，领更多现金红包,/,收入,￥0.01,/,已到账,"126667480124040110112004346522798386112131306	","1200010502144240401010004034508317928954	",打开拼多多，领更多现金红包
2024/4/1 6:42,其他,打开拼多多，领更多现金红包,/,收入,￥0.11,/,已到账,"160876236724040110102004425994324501112131549	","1200129470324240401010004031907999560021	",打开拼多多，领更多现金红包
2024/3/31 20:51,转账,素乌,转账备注:微信转账,支出,￥2.00,零钱通,对方已收钱,"53010000298082202403313232399741	","1000050001202403310524855817325	",/
2024/3/31 8:52,其他,打开拼多多，领更多现金红包,/,收入,￥0.08,/,已到账,"160876228124033110103004415166845467112131965	","1200129470293240331010103037207719247094	",打开拼多多，领更多现金红包
2024/3/30 0:18,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"160871516524033010102004125977656665112131135	","1200129426281240330010103052807142352919	",打开拼多多，领更多现金红包
2024/3/29 6:29,其他,打开拼多多，领更多现金红包,/,收入,￥0.08,/,已到账,"160901216924032910101004318450012423112131908	","1200129707125240329010303024606746775959	",打开拼多多，领更多现金红包
2024/3/28 6:24,其他,打开拼多多，领更多现金红包,/,收入,￥0.04,/,已到账,"152206076124032810102004425963758738112131185	","1200103427148240328010503027206231114119	",打开拼多多，领更多现金红包
2024/3/27 18:13,商户消费,小米商城,小米-5240327323011290,支出,￥9.99,零钱通,支付成功,"4200002224202403271901184391	","13Q321711534404899221911	",/
2024/3/27 6:35,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160893851224032710109004135913109675112131983	","1200129637517240327010003035305843248397	",打开拼多多，领更多现金红包
2024/3/27 6:29,转入零钱通-来自零钱,/,/,/,￥0.11,零钱,支付成功,"4200002162202403277413182629	","18000077742403270025736767780131	",/
2024/3/26 0:21,其他,打开拼多多，领更多现金红包,/,收入,￥0.02,/,已到账,"160901219824032610101004618025316596112131804	","1200129707174240326010503086005343167317	",打开拼多多，领更多现金红包
2024/3/25 6:48,其他,打开拼多多，领更多现金红包,/,收入,￥0.09,/,已到账,"126667480124032510111004236537171133112131306	","1200010502144240325010103089005053632929	",打开拼多多，领更多现金红包
2024/3/24 16:57,商户消费,湘行一卡通,公交卡充值5.00元,支出,￥5.00,零钱通,支付成功,"4200002177202403242641040105	","R202403241657276339987826962	",/
