时间,金额(元),,,时间
A,￥0.01,,,A
A,￥0.01,,,A
A,￥0.11,,,A
M,￥2.00,,,M
M,￥0.08,,,M
M,￥0.04,,,M
M,￥0.08,,,M
M,￥0.04,,,M
M,￥9.99,,,M
M,￥0.02,,,M
M,￥0.11,,,M
M,￥0.02,,,M
M,￥0.09,,,M
M,￥5.00,,,M
M,￥0.21,,,M
M,￥0.04,,,M
M,￥0.04,,,M
M,￥0.04,,,M
M,￥0.09,,,M
M,￥0.13,,,M
M,￥0.09,,,M
M,￥0.04,,,M
M,￥6.00,,,M
M,￥0.45,,,M
M,￥0.02,,,M
M,￥0.02,,,M
M,￥6.00,,,M
M,￥7.00,,,M
M,￥9.99,,,M
M,￥9.00,,,M
M,￥0.09,,,M
M,￥0.09,,,M
M,￥0.02,,,M
M,￥0.01,,,M
M,￥0.01,,,M
M,￥5.43,,,M
M,￥0.09,,,M
M,￥16.00,,,M
M,￥0.01,,,M
M,￥0.09,,,M
M,￥0.28,,,M
M,￥0.04,,,M
M,￥7.20,,,M
M,￥13.80,,,M
M,￥0.09,,,M
M,￥1.80,,,M
M,￥1.80,,,M
M,￥0.11,,,M
M,￥0.04,,,M
M,￥1.80,,,M
M,￥1.06,,,M
M,￥0.02,,,M
M,￥0.04,,,M
M,￥1.00,,,M
M,￥150.26,,,M
M,￥150.00,,,M
M,￥0.13,,,M
M,￥0.13,,,M
M,￥121.76,,,M
M,￥10.00,,,M
M,￥10.00,,,M
M,￥0.18,,,M
M,￥10.00,,,M
M,￥5.00,,,M
M,￥0.15,,,M
M,￥59.00,,,M
M,￥0.03,,,M
M,￥0.11,,,M
M,￥0.11,,,M
F,￥0.44,,,F
F,￥0.11,,,F
F,￥0.11,,,F
F,￥0.11,,,F
F,￥0.11,,,F
F,￥5.00,,,F
F,￥0.11,,,F
F,￥0.11,,,F
F,￥4.00,,,F
F,￥100.00,,,F
F,￥100.00,,,F
F,￥6.20,,,F
F,￥10.00,,,F
F,￥69.26,,,F
F,￥69.00,,,F
F,￥8.00,,,F
F,￥10.80,,,F
F,￥16.90,,,F
F,￥69.00,,,F
F,￥0.01,,,F
F,￥0.11,,,F
F,￥0.03,,,F
F,￥0.11,,,F
F,"￥3,538.00",,,F
F,￥3.01,,,F
F,￥22.50,,,F
F,￥0.01,,,F
F,￥3.00,,,F
F,￥0.05,,,F
F,￥0.01,,,F
F,￥86.80,,,F
F,￥19.53,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥9.00,,,F
F,￥1.40,,,F
F,￥0.01,,,F
F,￥0.02,,,F
F,￥11.50,,,F
F,￥5.00,,,F
F,￥0.01,,,F
F,￥800.01,,,F
F,￥800.00,,,F
F,￥22.80,,,F
F,￥0.01,,,F
F,￥21.00,,,F
F,￥1.00,,,F
F,￥1.00,,,F
F,￥2.00,,,F
F,￥400.00,,,F
F,￥400.00,,,F
F,￥0.03,,,F
F,￥0.03,,,F
F,￥31.71,,,F
F,￥18.00,,,F
F,￥18.00,,,F
F,￥0.01,,,F
F,￥13.72,,,F
F,￥17.54,,,F
F,￥0.61,,,F
F,￥40.00,,,F
F,￥2.22,,,F
F,￥11.64,,,F
F,￥5.66,,,F
F,￥3.95,,,F
F,￥11.81,,,F
F,￥2.25,,,F
F,￥13.30,,,F
F,￥6.10,,,F
F,￥0.11,,,F
F,￥0.11,,,F
F,￥0.18,,,F
F,￥0.08,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥0.01,,,F
F,￥0.03,,,F
F,￥5.00,,,F
F,￥0.11,,,F
F,￥0.11,,,F
F,￥0.18,,,F
F,￥0.13,,,F
F,￥0.05,,,F
F,￥10.00,,,F
F,￥15.11,,,F
F,￥15.00,,,F
F,￥9.50,,,F
F,￥5.00,,,F
F,￥0.11,,,F
F,￥0.06,,,F
F,￥0.06,,,F
J,￥116.10,,,J
J,￥1.40,,,J
J,￥1.40,,,J
J,￥8.80,,,J
J,￥8.80,,,J
J,￥28.00,,,J
J,￥28.00,,,J
J,"￥2,100.00",,,J
J,"￥2,100.00",,,J
J,￥0.08,,,J
J,￥56.00,,,J
J,￥0.08,,,J
J,￥0.09,,,J
J,￥0.09,,,J
J,"￥2,100.00",,,J
J,￥5.00,,,J
J,￥390.09,,,J
J,￥390.00,,,J
J,￥0.09,,,J
J,￥0.26,,,J
J,￥0.15,,,J
J,￥0.11,,,J
J,￥0.77,,,J
J,￥0.16,,,J
J,￥0.14,,,J
J,￥0.16,,,J
J,￥0.03,,,J
J,￥0.15,,,J
J,￥0.13,,,J
J,￥20.38,,,J
J,￥20.00,,,J
J,￥10.00,,,J
J,￥0.11,,,J
J,￥0.13,,,J
J,￥0.01,,,J
J,￥0.13,,,J
J,￥42.00,,,J
J,￥100.00,,,J
J,￥100.00,,,J
J,￥26.37,,,J
J,￥26.05,,,J
J,￥0.01,,,J
J,￥0.01,,,J
J,￥0.01,,,J
J,￥0.01,,,J
J,￥0.13,,,J
J,￥67.00,,,J
J,￥67.00,,,J
J,￥26.05,,,J
J,￥11.20,,,J
J,￥0.01,,,J
J,￥0.14,,,J
J,￥37.50,,,J
J,￥37.50,,,J
J,￥37.50,,,J
J,￥0.09,,,J
J,￥0.01,,,J
J,￥0.08,,,J
J,￥3.00,,,J
J,￥50.00,,,J
J,￥9.90,,,J
J,￥3.00,,,J
J,￥3.00,,,J
J,￥0.01,,,J
J,￥0.01,,,J
J,￥0.19,,,J
J,￥0.01,,,J
J,￥0.03,,,J
J,￥0.02,,,J
J,￥0.13,,,J
J,￥0.05,,,J
J,￥7.00,,,J
J,￥0.02,,,J
J,￥0.03,,,J
J,￥245.00,,,J
J,￥245.00,,,J
J,￥32.53,,,J
J,￥209.95,,,J
J,￥3.06,,,J
J,￥3.06,,,J
J,￥12.52,,,J
J,￥9.48,,,J
J,￥3.04,,,J
J,￥24.99,,,J
J,￥20.00,,,J
J,￥2.74,,,J
J,￥0.96,,,J
J,￥12.48,,,J
J,￥0.84,,,J
J,￥10.10,,,J
J,￥17.87,,,J
