,住宿场所名称,省份,城市,商圈,星级,是否为客栈,房间数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率
0,马尔康嘉绒大酒店,四川,阿坝,毕棚沟,四星级/高档,OTA,85,0.0,108,34.06,45,75,22,44,1,1,1,1,0,0.0,34147.0,0.079
1,阿坝马尔康县澜峰大酒店,四川,阿坝,毕棚沟,二星及其他,低星,115,0.0,129,34.06,35,72,27,59,34,71,27,59,6,0.1765,34147.0,0.079
2,阿坝鑫鸿大酒店,四川,阿坝,四姑娘山,二星及其他,低星,20,3.872980118,1,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
3,九寨沟管理局荷叶迎宾馆,四川,阿坝,九寨沟沟口,二星及其他,低星,49,3.972340107,394,34.06,60,117,42,74,47,89,38,66,0,0.0,34147.0,0.079
4,九寨沟风景名胜区管理局贵宾楼饭店,四川,阿坝,九寨沟沟口,三星级/舒适,低星,50,4.12789011,585,34.06,51,121,25,72,33,56,17,34,1,0.0303,34147.0,0.079
5,九寨沟九鑫山庄,四川,阿坝,九寨沟沟口,四星级/高档,OTA,60,4.04046011,161,34.06,32,66,21,45,1,1,1,1,0,0.0,34147.0,0.079
6,九寨沟冈拉美朵酒店,四川,阿坝,九寨沟沟口,四星级/高档,OTA,198,3.471659899,12,34.06,4,6,2,3,1,1,1,1,0,0.0,34147.0,0.079
7,若尔盖大藏酒店古格王朝店,四川,阿坝,西部旅游牧场,五星级/豪华,OTA,94,3.263220072,62,34.06,2,3,1,2,1,1,1,1,0,0.0,34147.0,0.079
8,若尔盖大藏酒店圣地店,四川,阿坝,西部旅游牧场,四星级/高档,OTA,188,3.921580076,119,34.06,21,31,16,26,1,1,1,1,0,0.0,34147.0,0.079
9,九寨沟保利新九寨宾馆,四川,阿坝,漳扎镇,五星级/豪华,OTA,329,4.353809834,269,34.06,39,75,18,39,1,1,1,1,0,0.0,34147.0,0.079
10,九寨沟名人酒店,四川,阿坝,漳扎镇,三星级/舒适,低星,292,4.539999962,57,34.06,103,188,68,129,70,126,49,89,2,0.0286,,0.079
11,九寨沟仁智度假酒店,四川,阿坝,九寨沟沟口,三星级/舒适,低星,137,3.782749891,173,34.06,44,94,27,58,5,7,5,7,1,0.2,,0.079
12,九寨沟药泉山庄,四川,阿坝,黄龙机场、川主寺,四星级/高档,OTA,128,3.821099997,310,34.06,22,37,12,20,1,1,1,1,0,0.0,,0.079
13,松潘黄龙寺华龙山庄,四川,阿坝,,四星级/高档,OTA,154,3.315500021,107,34.06,22,48,15,30,1,1,1,1,0,0.0,,0.079
14,阿坝山之旅背包客栈,四川,阿坝,四姑娘山,二星及其他,客栈,20,2.316159964,13,34.06,22,29,13,15,21,28,13,15,2,0.0952,,0.079
15,阿坝若尔盖大酒店,四川,阿坝,毕棚沟,二星及其他,低星,71,4.267769814,2,34.06,5,7,4,6,5,7,4,6,1,0.2,,0.079
16,九寨沟云天海大酒店,四川,阿坝,九寨沟沟口,三星级/舒适,低星,100,2.783930063,7,34.06,1,1,1,1,1,1,1,1,0,0.0,,0.079
17,阿坝九旅假日酒店,四川,阿坝,九寨沟沟口,四星级/高档,OTA,140,3.00515008,49,34.06,1,1,1,1,1,1,1,1,0,0.0,,0.079
18,九寨沟川主寺岷江源大酒店,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,228,3.211859941,109,34.06,12,25,4,6,6,12,3,5,3,0.5,34147.0,0.079
19,松潘天马大酒店,四川,阿坝,松潘古城,三星级/舒适,低星,218,2.961240053,21,34.06,3,5,3,5,3,5,3,5,1,0.3333,34147.0,0.079
20,九寨沟西北大酒店,四川,阿坝,漳扎镇,二星及其他,低星,20,4.633510113,6,34.06,7,15,2,5,7,15,2,5,0,0.0,34147.0,0.079
21,九寨沟宾馆,四川,阿坝,漳扎镇,三星级/舒适,低星,134,3.887840033,8,34.06,1,1,1,1,1,1,1,1,0,0.0,34147.0,0.079
22,九寨沟九寨花园酒店,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,75,3.811759949,65,34.06,15,21,11,15,15,21,11,15,2,0.1333,34147.0,0.079
23,九寨沟棠中大酒店,四川,阿坝,漳扎镇,四星级/高档,OTA,154,3.671169996,141,34.06,5,7,1,1,1,1,1,1,0,0.0,34147.0,0.079
24,九寨沟自游国际青年旅舍,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,27,3.947819948,984,34.06,254,405,188,294,214,342,164,258,1,0.0047,34147.0,0.079
25,怡莱酒店九寨沟店,四川,阿坝,九寨沟沟口,经济型,低星,120,3.858779907,48,34.06,26,41,15,21,25,39,14,19,2,0.08,34147.0,0.079
