名称,价格,浏览量,销量,库存
纽芝兰包包女士2018新款潮百搭韩版时尚单肩斜挎包少女小挎包链条,168,438,7,286
MARNI Trunk 女士 中号拼色十字纹小牛皮 斜挎风琴包,356,329,1,25
Huawei/华为 H60-L01 荣耀6 移动4G版智能手机 安卓,1999,235,4,523
MIUI/小米 小米手机4 小米4代 MI4智能4G手机包邮 黑色 D-LTE（4G）/TD-SCD,2100,182,10,102
Meizu/魅族 MX4 Pro移动版 八核大屏智能手机 黑色 16G,2499,519,10,412
vivo X5MAX L 移动4G 八核超薄大屏5.5吋双卡手机vivoX5max,2998.9,363,1,310
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,397,985,460
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,194,917,636
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,961,861,128
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,396,745,565
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,879,669,177
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,307,573,993
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,27,523,905
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,531,365,112
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,142,282,383
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,894,179,658
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,255,119,761
RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米,2999,147,14,777
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,559,952,692
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,939,924,640
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,707,902,731
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,962,831,112
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,1003,788,72
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,488,658,757
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,139,618,640
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,922,610,533
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,555,564,261
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,944,564,487
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,253,536,836
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,188,506,137
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,665,503,853
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,723,494,207
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,688,484,166
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,322,472,28
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,888,459,874
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,825,443,964
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,553,433,966
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,246,411,682
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,364,391,703
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,353,388,731
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,733,383,438
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,196,367,101
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,491,348,290
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,902,342,837
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,943,311,609
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,963,294,68
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,293,293,241
联想小新Air14锐龙版2020款R5笔记本电脑超薄本六核超级本R7学生用轻薄女生商务办公游戏超极本 标配丨R5-4600U 8G 256G固态 深空灰 新品7纳米/上网课,3499,644,251,162
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,60,247,85
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,109,242,734
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499,208,228,922
